dataset,attack,n,rate,seed,mode,method,alpha,threshold,independent_clean_test_fpr,tp,fp,fn,tn,n_flagged,precision,recall,f1,fpr
sst2,scpn,6000,0.05,43,full,base_label_NLL,0.05,1.7026181734780128,0.034634414513468936,174,207,126,5493,381,0.4566929133858268,0.58,0.5110132158590308,0.03631578947368421
sst2,scpn,6000,0.05,43,full,adapted_label_NLL,0.01,10.85722584810715,0.006047278724573941,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,43,full,adapted_label_NLL,0.05,4.89675862054291,0.04068169323804288,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,43,full,ZScore_token,0.01,7.556757318135022,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,43,full,ZScore_token,0.05,7.540391475746045,0.02583837273227048,0,142,300,5558,142,0.0,0.0,0.0,0.024912280701754386
sst2,scpn,6000,0.05,43,full,ZScore_released_unigram,0.01,13.160476670085517,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,43,full,ZScore_released_unigram,0.05,13.160476670085517,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,43,lora,PD_KL,0.01,1.0544758407489223,0.008246289169873557,67,28,233,5672,95,0.7052631578947368,0.22333333333333333,0.3392405063291139,0.004912280701754386
sst2,scpn,6000,0.05,43,lora,PD_KL,0.05,0.40641710982302975,0.04892798240791644,144,220,156,5480,364,0.3956043956043956,0.48,0.43373493975903615,0.03859649122807018
sst2,scpn,6000,0.05,43,lora,PD_label_KL,0.01,1.054065912457852,0.008246289169873557,67,28,233,5672,95,0.7052631578947368,0.22333333333333333,0.3392405063291139,0.004912280701754386
sst2,scpn,6000,0.05,43,lora,PD_label_KL,0.05,0.4059022172517072,0.04837822979659153,144,218,156,5482,362,0.39779005524861877,0.48,0.4350453172205438,0.03824561403508772
sst2,scpn,6000,0.05,43,lora,PD_observed,0.01,3.9609480500221252,0.006597031335898846,42,59,258,5641,101,0.4158415841584158,0.14,0.20947630922693267,0.010350877192982456
sst2,scpn,6000,0.05,43,lora,PD_observed,0.05,3.0755335688591003,0.0439802089059923,84,307,216,5393,391,0.21483375959079284,0.28,0.24312590448625182,0.05385964912280702
sst2,scpn,6000,0.05,43,lora,PD_max_abs,0.01,4.09597373008728,0.006597031335898846,39,51,261,5649,90,0.43333333333333335,0.13,0.2,0.008947368421052631
sst2,scpn,6000,0.05,43,lora,PD_max_abs,0.05,3.155198574066162,0.04727872457394173,81,275,219,5425,356,0.22752808988764045,0.27,0.24695121951219512,0.04824561403508772
sst2,scpn,6000,0.05,43,lora,PD_positive_oracle,0.01,4.09597373008728,0.006047278724573941,39,48,261,5652,87,0.4482758620689655,0.13,0.20155038759689922,0.008421052631578947
sst2,scpn,6000,0.05,43,lora,PD_positive_oracle,0.05,3.113085508346557,0.04617921935129192,83,271,217,5429,354,0.2344632768361582,0.27666666666666667,0.25382262996941896,0.047543859649122805
sst2,scpn,6000,0.05,43,lora,base_label_NLL,0.01,2.4895765887582084,0.010995052226498075,116,83,184,5617,199,0.5829145728643216,0.38666666666666666,0.4649298597194389,0.01456140350877193
sst2,scpn,6000,0.05,43,lora,base_label_NLL,0.05,1.7026181734780128,0.034634414513468936,174,207,126,5493,381,0.4566929133858268,0.58,0.5110132158590308,0.03631578947368421
sst2,scpn,6000,0.05,43,lora,adapted_label_NLL,0.01,4.381320768850456,0.0043980208905992305,0,17,300,5683,17,0.0,0.0,0.0,0.0029824561403508773
sst2,scpn,6000,0.05,43,lora,adapted_label_NLL,0.05,1.8165150769200287,0.04288070368334249,31,170,269,5530,201,0.15422885572139303,0.10333333333333333,0.12375249500998003,0.02982456140350877
sst2,scpn,6000,0.05,43,lora,ZScore_token,0.01,7.556757318135022,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,43,lora,ZScore_token,0.05,7.540391475746045,0.02583837273227048,0,142,300,5558,142,0.0,0.0,0.0,0.024912280701754386
sst2,scpn,6000,0.05,43,lora,ZScore_released_unigram,0.01,13.160476670085517,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,43,lora,ZScore_released_unigram,0.05,13.160476670085517,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,full,PD_KL,0.01,2.1078802053980707,0.012087912087912088,149,124,151,5576,273,0.5457875457875457,0.49666666666666665,0.5200698080279232,0.02175438596491228
sst2,scpn,6000,0.05,44,full,PD_KL,0.05,0.914780396639844,0.05,229,477,71,5223,706,0.3243626062322946,0.7633333333333333,0.4552683896620278,0.08368421052631579
sst2,scpn,6000,0.05,44,full,PD_label_KL,0.01,2.1050273417925887,0.012087912087912088,149,126,151,5574,275,0.5418181818181819,0.49666666666666665,0.5182608695652174,0.022105263157894735
sst2,scpn,6000,0.05,44,full,PD_label_KL,0.05,0.9091211774715136,0.05,229,477,71,5223,706,0.3243626062322946,0.7633333333333333,0.4552683896620278,0.08368421052631579
sst2,scpn,6000,0.05,44,full,PD_observed,0.01,12.5138920545578,0.007142857142857143,57,186,243,5514,243,0.2345679012345679,0.19,0.20994475138121546,0.03263157894736842
sst2,scpn,6000,0.05,44,full,PD_observed,0.05,10.832911640405655,0.04725274725274725,123,633,177,5067,756,0.1626984126984127,0.41,0.23295454545454544,0.11105263157894738
sst2,scpn,6000,0.05,44,full,PD_max_abs,0.01,12.566550612449646,0.007142857142857143,56,180,244,5520,236,0.23728813559322035,0.18666666666666668,0.208955223880597,0.031578947368421054
sst2,scpn,6000,0.05,44,full,PD_max_abs,0.05,10.867496564984322,0.04945054945054945,122,615,178,5085,737,0.1655359565807327,0.4066666666666667,0.23529411764705882,0.10789473684210527
sst2,scpn,6000,0.05,44,full,PD_positive_oracle,0.01,12.566550612449646,0.007142857142857143,56,166,244,5534,222,0.25225225225225223,0.18666666666666668,0.21455938697318008,0.02912280701754386
sst2,scpn,6000,0.05,44,full,PD_positive_oracle,0.05,10.867496564984322,0.04835164835164835,122,548,178,5152,670,0.18208955223880596,0.4066666666666667,0.2515463917525773,0.09614035087719298
sst2,scpn,6000,0.05,44,full,base_label_NLL,0.01,2.4895765887582084,0.01098901098901099,119,82,181,5618,201,0.5920398009950248,0.39666666666666667,0.4750499001996008,0.014385964912280702
sst2,scpn,6000,0.05,44,full,base_label_NLL,0.05,1.7026181734780128,0.03461538461538462,177,210,123,5490,387,0.4573643410852713,0.59,0.5152838427947598,0.03684210526315789
sst2,scpn,6000,0.05,44,full,adapted_label_NLL,0.01,10.985943268362954,0.0038461538461538464,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,full,adapted_label_NLL,0.05,5.381370705268614,0.041758241758241756,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,full,ZScore_token,0.01,8.558319445840972,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,full,ZScore_token,0.05,8.257117402425463,0.025824175824175823,0,146,300,5554,146,0.0,0.0,0.0,0.025614035087719297
sst2,scpn,6000,0.05,44,full,ZScore_released_unigram,0.01,12.377772422825684,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,full,ZScore_released_unigram,0.05,12.377772422825684,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,lora,PD_KL,0.01,1.1859951363261774,0.008241758241758242,91,29,209,5671,120,0.7583333333333333,0.30333333333333334,0.43333333333333335,0.005087719298245614
sst2,scpn,6000,0.05,44,lora,PD_KL,0.05,0.38409851918350196,0.053296703296703295,169,285,131,5415,454,0.3722466960352423,0.5633333333333334,0.4482758620689655,0.05
sst2,scpn,6000,0.05,44,lora,PD_label_KL,0.01,1.1853498461381933,0.008241758241758242,91,29,209,5671,120,0.7583333333333333,0.30333333333333334,0.43333333333333335,0.005087719298245614
sst2,scpn,6000,0.05,44,lora,PD_label_KL,0.05,0.3821288543318431,0.053296703296703295,169,284,131,5416,453,0.3730684326710817,0.5633333333333334,0.448871181938911,0.04982456140350877
sst2,scpn,6000,0.05,44,lora,PD_observed,0.01,4.226742506027222,0.0032967032967032967,51,39,249,5661,90,0.5666666666666667,0.17,0.26153846153846155,0.006842105263157895
sst2,scpn,6000,0.05,44,lora,PD_observed,0.05,3.0385327339172363,0.04285714285714286,120,318,180,5382,438,0.273972602739726,0.4,0.3252032520325203,0.05578947368421053
sst2,scpn,6000,0.05,44,lora,PD_max_abs,0.01,4.237893342971802,0.006593406593406593,50,44,250,5656,94,0.5319148936170213,0.16666666666666666,0.25380710659898476,0.0077192982456140355
sst2,scpn,6000,0.05,44,lora,PD_max_abs,0.05,3.1660876274108887,0.0456043956043956,113,284,187,5416,397,0.28463476070528965,0.37666666666666665,0.3242467718794835,0.04982456140350877
sst2,scpn,6000,0.05,44,lora,PD_positive_oracle,0.01,4.232458896934986,0.006043956043956044,50,42,250,5658,92,0.5434782608695652,0.16666666666666666,0.25510204081632654,0.007368421052631579
sst2,scpn,6000,0.05,44,lora,PD_positive_oracle,0.05,3.1449464559555054,0.04395604395604396,113,264,187,5436,377,0.29973474801061006,0.37666666666666665,0.33382570162481534,0.04631578947368421
sst2,scpn,6000,0.05,44,lora,base_label_NLL,0.01,2.4895765887582084,0.01098901098901099,119,82,181,5618,201,0.5920398009950248,0.39666666666666667,0.4750499001996008,0.014385964912280702
sst2,scpn,6000,0.05,44,lora,base_label_NLL,0.05,1.7026181734780128,0.03461538461538462,177,210,123,5490,387,0.4573643410852713,0.59,0.5152838427947598,0.03684210526315789
sst2,scpn,6000,0.05,44,lora,adapted_label_NLL,0.01,4.031070059184579,0.005494505494505495,1,22,299,5678,23,0.043478260869565216,0.0033333333333333335,0.006191950464396285,0.0038596491228070177
sst2,scpn,6000,0.05,44,lora,adapted_label_NLL,0.05,1.8750476492531993,0.04230769230769231,24,174,276,5526,198,0.12121212121212122,0.08,0.0963855421686747,0.030526315789473683
sst2,scpn,6000,0.05,44,lora,ZScore_token,0.01,8.558319445840972,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,lora,ZScore_token,0.05,8.257117402425463,0.025824175824175823,0,146,300,5554,146,0.0,0.0,0.0,0.025614035087719297
sst2,scpn,6000,0.05,44,lora,ZScore_released_unigram,0.01,12.377772422825684,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.05,44,lora,ZScore_released_unigram,0.05,12.377772422825684,0.0,0,0,300,5700,0,0.0,0.0,0.0,0.0
sst2,scpn,6000,0.0,42,full,PD_KL,0.01,2.0008147374313574,0.006597031335898846,0,158,0,5842,158,0.0,,0.0,0.026333333333333334
sst2,scpn,6000,0.0,42,full,PD_KL,0.05,0.791784247206215,0.056074766355140186,0,579,0,5421,579,0.0,,0.0,0.0965
sst2,scpn,6000,0.0,42,full,PD_label_KL,0.01,1.9992861769870234,0.006597031335898846,0,158,0,5842,158,0.0,,0.0,0.026333333333333334
